train_loss,train_acc,val_loss,val_acc,TP,TN,FP,FN
1.0418342074057214,0.5293005671077504,0.9608118770686724,0.6500956022944551,25,655,15,351
0.9202377778246886,0.6153119092627599,0.8616921810703423,0.6443594646271511,5,669,1,371
0.8471928646689967,0.6096408317580341,0.800983807512822,0.6443594646271511,4,670,0,372
0.7940307846642974,0.6162570888468809,0.7590755433526658,0.6462715105162524,6,670,0,370
0.7612331648518268,0.610586011342155,0.7289670987893607,0.6481835564053537,8,670,0,368
0.7335633012585174,0.6219281663516069,0.7058406567755546,0.6567877629063098,17,670,0,359
0.7127496246108436,0.6361058601134215,0.6873923148817689,0.6625239005736138,27,666,4,349
0.6943354212251821,0.6465028355387523,0.6716005165158337,0.6673040152963671,32,666,4,344
0.6789288628370242,0.6550094517958412,0.6586639171338263,0.6759082217973231,45,662,8,331
0.6709344046456474,0.668241965973535,0.6474650142757037,0.6816443594646272,54,659,11,322
0.6540506119118598,0.6994328922495274,0.6374323022274571,0.6902485659655831,65,657,13,311
0.64637681774627,0.6984877126654064,0.6286198856266401,0.7026768642447419,81,654,16,295
0.6361414400258458,0.7107750472589792,0.620758056640625,0.7055449330783938,87,651,19,289
0.6239657868120007,0.7155009451795841,0.6134989498225787,0.7122370936902486,96,649,21,280
0.6219742280200011,0.725897920604915,0.6069503667700382,0.7160611854684512,103,646,24,273
0.6071943698969102,0.7438563327032136,0.6011235477360151,0.7275334608030593,116,645,25,260
0.6034805183123825,0.7448015122873346,0.5956849542282919,0.7294455066921606,120,643,27,256
0.6010059557462993,0.7325141776937618,0.5908036559592676,0.7323135755258127,126,640,30,250
0.5982257011241483,0.7362948960302458,0.5864074939989862,0.7332695984703633,129,638,32,247
0.5891746578359962,0.7589792060491494,0.5821859927577827,0.7380497131931166,135,637,33,241
0.5869537582971099,0.7410207939508506,0.5783637243372793,0.7390057361376673,137,636,34,239
0.5818155044899848,0.7599243856332704,0.5749152380091543,0.7390057361376673,139,634,36,237
0.5848408749229029,0.7551984877126654,0.5718808938528746,0.7390057361376673,139,634,36,237
0.5835084843456297,0.7523629489603024,0.5691323899130785,0.7428298279158699,145,632,38,231
0.5716062273297992,0.7589792060491494,0.5664849317710818,0.7447418738049714,147,632,38,229
0.5705055294180275,0.7674858223062382,0.5640595414256322,0.7466539196940727,149,632,38,227
0.5707224795692846,0.7542533081285444,0.561990344797382,0.7523900573613767,156,631,39,220
0.5623573360586525,0.7731568998109641,0.5599619159261688,0.7533460803059273,157,631,39,219
0.561369013965578,0.776937618147448,0.5580563727225966,0.7571701720841301,161,631,39,215
0.5606210464821723,0.776937618147448,0.556439989395724,0.7571701720841301,161,631,39,215
0.5583689983626058,0.7684310018903592,0.5549156247204496,0.760038240917782,164,631,39,212
0.5585081057440966,0.7665406427221172,0.5535435567375357,0.7619502868068834,166,631,39,210
0.5567725045340401,0.7722117202268431,0.5523520316786439,0.7619502868068834,167,630,40,209
0.5565375994918937,0.7703213610586012,0.5512770441652254,0.762906309751434,169,629,41,207
0.5540378541874706,0.7646502835538752,0.5503360660931537,0.7638623326959847,171,628,42,205
0.5550239964535362,0.775047258979206,0.5494825057401002,0.7638623326959847,171,628,42,205
0.5507187807470336,0.774102079395085,0.5487147323957836,0.7638623326959847,171,628,42,205
0.556423158573925,0.7722117202268431,0.5480822497651777,0.7648183556405354,172,628,42,204
0.5489803687074131,0.777882797731569,0.5475143549096493,0.7648183556405354,172,628,42,204
0.5472902570452008,0.7901701323251418,0.5470224628011688,0.7648183556405354,172,628,42,204
0.5544337796089345,0.7684310018903592,0.5466248606907502,0.765774378585086,173,628,42,203
0.5472484961488193,0.7844990548204159,0.5462779853180164,0.765774378585086,173,628,42,203
0.5528378020551868,0.777882797731569,0.5460174793505487,0.765774378585086,173,628,42,203
0.5491957700342164,0.7731568998109641,0.5458043222208969,0.765774378585086,173,628,42,203
0.5443355588984669,0.7854442344045368,0.545638746887673,0.765774378585086,173,628,42,203
0.5497718180032601,0.7684310018903592,0.5455122503615518,0.765774378585086,173,628,42,203
0.5466831752232143,0.775992438563327,0.5454131847119513,0.765774378585086,173,628,42,203
0.5505826562867129,0.7873345935727788,0.5453437630456822,0.765774378585086,173,628,42,203
0.5439018880514274,0.774102079395085,0.5452898913667402,0.765774378585086,173,628,42,203
0.5469777386887629,0.781663516068053,0.545248424733868,0.765774378585086,173,628,42,203
